name,num_pages
SanFranciscoCA,294
Rafah,199
1,177
Rome2,124
3,98
12,94
London5,92
14,92
8,78
Berlin,68
29,67
9,66
13,56
Rome3,48
Copenhagen,45
HalifaxNS,40
2,37
5,36
Barcelona,36
30,34
SouthAfrica,25
23,24
24,23
10,22
London2,21
15,21
London4,20
7,20
35,20
Athens,20
Paris,19
Paris3,19
NewYork2,18
Seville2,17
17,16
Berlin2,15
Prague2,15
LosAngelesCA2,15
TelAviv,14
Amsterdam2,13
36,12
Antarctica,12
32,10
Sydney,10
PhiladelphiaPA,9
Quito2,9
20,9
Babylon,8
NewDelhi,8
Melbourne,8
Glasgow,8
Tokyo3,7
Damascus,7
Madrid2,7
34,7
Taipei,7
Marseille,7
11,6
Sydney2,6
Thessaloniki,6
Manila,6
London,6
Bagdad,5
Dunedin,5
NewZealand,5
Madrid,5
Cairo,5
SaoPaulo3,5
Moscow,5
SanFranciscoCA2,5
Seoul,5
Vienna2,5
MexicoCity2,4
Reykjavik,4
Lisbon2,4
Santiago2,4
Seoul3,4
Paris2,4
Wellington,4
HongKong3,4
Dili,4
Ankara,4
25,4
Jakarta,4
HongKong2,4
Seville,3
Seoul2,3
Athens2,3
Amman,3
CapeTown,3
Stuttgart,3
Bern,3
Istanbul,3
HongKong,3
Cairo2,3
Karachi,3
Goteborg,3
Lisbon,3
Lahore,3
Paraguay,3
Budapest,3
RioDeJaneiro,3
Rawalpindi,3
33,3
Warsaw,3
Quito,2
Girona,2
Ramallah,2
Lahore2,2
Dublin2,2
Havana,2
31,2
Bangkok2,2
SantoDomingo,2
Bangkok,2
Thessaloniki2,2
SeattleWA,2
Halifax2,2
Christiansborg,2
Amsterdam,2
AustinTX,2
Prague,2
Nice,2
NewYork,2
Bombay,2
Brussels,1
London3,1
Sacramento2,1
Bombay2,1
KualaLampur2,1
PortoCodex,1
Rome,1
Beirut,1
Strasbourg,1
PhiladephiaPA2,1
21,1
Andalusia,1
Dublin,1
Vienna,1
6,1
VallejoCA,1
Tokyo2,1
Minsk,1
Tokyo,1
FresnoCA,0
Detroit,0
Sacramento,0
MexicoCity,0
Miami,0
Montreal,0
Montreal2,0
Tegucigalpa,0
19,0
18,0
Auckland,0
Aukland2,0
Arcata,0
26,0
27,0
AnchorageAK,0
28,0
VancouverBC,0
4,0
ChicagoIL,0
Christchurch,0
Caracas,0
Canberra,0
Brasilia,0
Calgary,0
BuenosAires,0
LosAngeles,0
BellinghamWA,0
SaltLakeCityUT,0
SanJoseCA,0
SanJoseCR,0
SantaFe,0
SantaFe2,0
SantaMonicaCA,0
Santiago,0
SaoPaulo,0
SaoPaulo2,0
SeattleWA2,0
Toronto,0
Rosario,0
RioDeJaneiro2,0
Srinagar,0
RaleighNC,0
Guadalajara,0
GuatemalaCity,0
JeffersonCityMO,0
Kiev,0
Ottawa,0
PearlHarborHI,0
NormalIL,0
KualaLumpur,0
LansingMI,0
LansingMI2,0
LasVegas,0
LasVegasNV2,0
Lima,0
NewCastle,0
NewYork1,0
Nice2,0
NewtonMA,0
