image,pretty_title,country,n_webpages,n_scrape-images,scrape-ratio,n_scraped-text-characters,char-page-ratio,n_context-images,n_dates
SouthAfrica,CapeTown_1,SA,25,6,0.76,1418622,56744.88,189,23
Rome3,Rome_1,IT,46,10,0.78,130100,2828.26,614,37
Rome2,Rome_2,IT,203,55,0.73,632817,3117.33,2740,130
Rafah,Rafah,PAL,244,74,0.7,1899138,7783.35,5401,197
London4,London_2,UK,20,10,0.5,60685,3034.25,430,13
London,London_3,UK,24,6,0.75,31522,1313.42,492,23
HalifaxNS,Halifax,US,29,6,0.79,148119,5107.55,362,28
Copenhagen,Copenhagen,DK,45,5,0.89,104782,2328.49,1143,37
Berlin,Berlin,DE,67,10,0.85,383003,5716.46,260,64
Barcelona,Barcelona,SP,36,12,0.6699999999999999,941076,26141.0,2437,27
Athens,Athens,GR,20,7,0.65,55174,2758.7,141,15
9,SanFrancisco,US,65,16,0.75,1460940,22476.0,357,116
8,London_4,UK,82,16,0.8,690818,8424.61,1153,140
7,Rome_3,IT,20,12,0.4,197777,9888.85,49,18
5,Portland,US,35,11,0.69,146178,4176.51,1173,27
30,NewYork_1,US,34,8,0.76,131165,3857.79,228,33
29,Amsterdam,NL,76,24,0.6799999999999999,209192,2752.53,1382,66
24,Madrid,ES,23,9,0.61,97771,4250.91,380,21
2,NewYork_2,US,37,8,0.78,223677,6045.32,1283,22
15,London_5,UK,21,7,0.6699999999999999,120136,5720.76,213,20
14,London_6,UK,69,1,0.99,926373,13425.7,528,58
13,London_7,UK,57,15,0.74,701224,12302.18,1820,48
12,London_8,UK,244,94,0.61,659790,2704.06,4477,209
10,CapeTown_2,SA,22,5,0.77,229061,10411.86,83,20
1,London_1,UK,176,44,0.75,2359045,13403.66,1970,142
