y,av_img_page,n_webpages,n_webpages_unique,av_img_on_multiple
2001,1.4622641509433962,155,106,3.5789473684210527
2002,1.1111111111111112,10,9,2.0
2003,1.0833333333333333,13,12,2.0
2004,1.4375,23,16,3.3333333333333335
2005,2.6,13,5,9.0
2006,1.4594594594594594,54,37,2.5454545454545454
2007,1.1136363636363635,49,44,2.25
2008,1.2162162162162162,45,37,5.0
2009,1.0454545454545454,69,66,4.0
2010,1.1842105263157894,90,76,2.5555555555555554
2011,1.464968152866242,230,157,3.8076923076923075
2012,1.24,124,100,2.6
2013,1.1551724137931034,134,116,2.6363636363636362
2014,1.0898876404494382,97,89,2.142857142857143
2015,1.169811320754717,186,159,2.9285714285714284
2016,1.150943396226415,183,159,2.6
2017,1.1333333333333333,255,225,2.5
2018,1.0680272108843538,157,147,2.25
2019,1.0655172413793104,309,290,2.2666666666666666
2020,1.0390625,532,512,2.3333333333333335
