agenti,carabiniere,carabinieri,polizia,poliziotti,carlo*,manifestante,manifestanti,manifestazione,manifestazioni,violenza,violenze
bolzaneto (-2.0),sparò (-0.43),ieri (-1.04),penitenziaria (-1.51),diaz (-1.9),mancherai (-1.78),ucciso (-1.19),tanti (-0.86),stazione (0.11),azioni (-1.28),pubblico (-2.22),bolzaneto (-0.94)
scuola (-2.31),mario (-0.93),blindato (-1.23),irruzione (-1.67),scuola (-2.06),parteggiavo (-1.82),mani (-1.31),festa (-0.99),mani (-1.58),mani (-1.65),esiste (-2.4),caserma (-1.02)
condanna (-2.44),placanica (-1.18),compagnia (-1.73),sindacato (-1.71),fuori (-2.45),guardavo (-1.89),CARLO (-2.33),mani (-1.41),azione (-2.19),g8 (-1.89),uso (-2.49),diaz (-1.82)
diaz (-2.53),legittima (-1.4),camionetta (-1.75),gianni (-1.95),carabinieri (-2.91),sparò (-2.05),genova (-2.91),violenti (-1.55),luglio (-2.49),durante (-1.95),polizia (-3.12),scuola (-1.97)
polizia (-2.61),sparato (-1.55),jeep (-2.05),riferimento (-2.03),testa (-3.03),coetaneo (-2.09),que (-3.41),lacrimogeni (-1.87),lug (-2.56),genova (-2.86),usa (-3.12),g8 (-2.43)
alcuni (-2.7),estintore (-1.59),demonstrators (-2.06),molotov (-2.07),fini (-3.14),haidi (-2.42),ore (-3.42),scontri (-1.93),piazza (-2.72),parte (-3.09),propri (-3.32),parte (-2.75)
egli (-2.88),pistola (-1.73),defender (-2.06),caffa (-2.08),mani (-3.21),ancona (-2.51),cia (-3.53),tolemaide (-1.96),gran (-2.77),polizia (-3.19),atti (-3.49),polizia (-2.83)
entro (-3.04),difesa (-1.73),provincia (-2.39),diaz (-2.19),ieri (-3.22),diego (-2.54),fa (-3.79),lancia (-1.98),parte (-2.86),tre (-3.45),essi (-3.52),genova (-3.01)
alcun (-3.16),spara (-1.84),arma (-2.41),gennaro (-2.21),due (-3.37),death (-2.54),no (-3.91),defender (-2.08),polizia (-3.07),anno (-3.65),parte (-3.54),anni (-3.38)
essi (-3.28),ucciso (-1.88),alimonda (-2.44),filmati (-2.23),tanti (-3.38),estintore (-2.56),nan (-4.11),alcuni (-2.16),genova (-3.2),cia (-3.73),mani (-3.6),stato (-3.45)
